topic_id,topic_name,priority,keywords_any,keywords_all,exclude_terms,primary_sources,cadence,last_checked,status,notes
T001,Soft finger actuation,high,"soft robotic finger; soft finger actuator; hand rehabilitation actuator","finger; rehabilitation","glove; EMG; sensing","crossref; semantic_scholar",weekly,,paused,"Broad actuator topic retained for later work."
T002,Variable-stiffness mechanisms,high,"variable stiffness actuator; tunable stiffness mechanism; compliance modulation","finger; rehabilitation","whole hand; lower limb","crossref; semantic_scholar",weekly,,paused,"Broad mechanism topic retained for later work."
T003,Finger biomechanics models,high,"finger biomechanics model; tendon-driven finger model; reduced-order finger model; joint stiffness finger model; quasi-static finger model; musculoskeletal finger model","finger; model","full hand; surgical planning; vision; authentication","crossref; semantic_scholar",weekly,,paused,"Broad modeling topic retained for later work."
T004,Validation methods,medium,"bench test finger actuator; force-displacement finger actuator; repeatability finger actuator; mechanical jig finger actuator","validation; finger","clinical trial; patient study; psychology; education","crossref; semantic_scholar",biweekly,,paused,"General validation search retained for later work."
T005,Rehabilitation positioning,medium,"hand rehabilitation robot finger assistance; assistive finger device review","rehabilitation; finger","stroke prediction; diagnosis","crossref; semantic_scholar",monthly,,paused,"Broad framing topic retained for later work."
T006,Pinch grasp exoskeletons,medium,"pinch grasp exoskeleton; pinch grasp device rehabilitation; pulp pinch rehabilitation exoskeleton; lateral pinch exoskeleton; pinch orthosis hand","pinch; hand","authentication; finger vein; surgery; occupational","crossref; semantic_scholar",weekly,,active,"Keep as an adjacent comparison bucket rather than the main search focus."
T007,Thumb-index opposition support,medium,"thumb exoskeleton lateral pinch; thumb index opposition exoskeleton; thumb assist device rehabilitation; thumb orthosis pinch; thumb mechanism opposition","thumb; index","prosthetic cosmetic; authentication; glove review","crossref; semantic_scholar",weekly,,active,"Keep as an adjacent comparison bucket rather than the main search focus."
T008,Direct tapping-like and repetitive finger-motion devices,high,"finger tapping rehabilitation device; finger tapping exoskeleton; repetitive finger movement rehabilitation; finger flexion extension exoskeleton; finger mobilization device","finger; tapping","vision-only; authentication; piano","crossref; semantic_scholar",weekly,,active,"Primary search bucket: direct or near-direct devices for repeated finger motion."
T009,Index finger and MCP-joint exoskeletons,high,"index finger exoskeleton; self-aligning finger exoskeleton; MCP exoskeleton; metacarpophalangeal joint exoskeleton; index finger rehabilitation robot","finger; MCP","thumb-only; lower limb; surgery-only","crossref; semantic_scholar",weekly,,active,"Primary near-adjacent bucket: index-finger and MCP devices most likely to inform tapping-like motion support."
T010,Current reviews and task/motion framing,medium,"hand exoskeleton task specific review; finger exoskeleton rehabilitation review; finger motion assistance review; finger tapping task movement review","review; hand exoskeleton","industrial augmentation; lower limb","crossref; semantic_scholar",weekly,,active,"Find review papers and task-framing papers that help structure the presentation."
T011,Tendon routing and ring placement,high,"tendon routing hand exoskeleton; exotendon routing finger; cable-driven finger exoskeleton; tendon path optimization finger; soft hand exoskeleton open rings; thimble tendon hand exoskeleton","finger; tendon","lower limb; surgical robot; authentication; haptic glove only","crossref; semantic_scholar",weekly,2026-04-20,active,"Primary search bucket for index-finger tendon routing, ring placement, thimble anchoring, and tendon-path modeling papers."
